iteration,global_iteration,mean_reward,win_rate,num_episodes_lifetime,iter_seconds,policy_loss,value_loss,entropy,clip_fraction,approx_kl,explained_variance,grad_norm,learning_rate,entropy_coeff,shaping_mult,steps_per_sec,total_env_steps,snapshot_count,forfeit_rate,forfeit_injected_rate,blocked_rate,mean_episode_length,eval_win_rate,eval_draw_rate,eval_vs_random_win,eval_vs_heuristic_win,eval_vs_line_rusher,eval_vs_row_rusher,eval_vs_col_rusher,eval_vs_greedy_tactical,eval_vs_lookahead_scripted,eval_block_rate,eval_heur_first,eval_heur_second,eval_line_first,eval_line_second,eval_row_first,eval_row_second,eval_col_first,eval_col_second,eval_random_open_heur,eval_random_open_col,eval_random_open_row,eval_recovery_heur
1,1,-0.021235,0.28,2097,1182.0678,-0.027578,0.213155,4.191616,0.293475,0.016307,-0.033042,3.410981,0.0002,0.03,1.0,1.8,2097,0,0.0,0.011251,0.013501,20.5588,,,,,,,,,,,,,,,,,,,,,,
2,2,-0.020396,0.28,4180,1286.8764,-0.027839,0.18592,4.186388,0.188301,0.015741,0.142642,4.391233,0.0002,0.03,1.0,1.6,4180,0,0.0,0.012687,0.011781,21.0404,0.78,0.0,0.86,0.03,0.16,0.03,0.03,0.0,0.041666666666666664,0.0,0.04,0.02,0.16,0.16,0.06,0.0,0.02,0.04,0.0,0.02,0.02,0.02
